(written by ASE)

30000 atoms
2 atom types

0.0                      20  xlo xhi
0.0                      20  ylo yhi
0.0                      20  zlo zhi

Atoms # full

     1   0   1   0.0                -42.3705                -41.0565               -117.1815
     2   0   1   0.0                -42.3705                -41.0565     -115.90649999999999
     3   0   2   0.0     -41.701500000000003                -40.2395      137.18049999999999
     4   0   2   0.0                -35.6295                -36.9435      137.18049999999999
     5   0   2   0.0     -41.701500000000003                -40.2395               -115.2685
     6   0   2   0.0                -35.6295                -36.9435               -115.2685
     7   0   1   0.0                -42.3705                -41.0565               -114.6315
     8   0   1   0.0                -42.3705                -41.0565               -113.3565
     9   0   2   0.0     -41.701500000000003                -40.2395     -115.26949999999999
    10   0   2   0.0                -35.6295                -36.9435     -115.26949999999999
    11   0   2   0.0     -41.701500000000003                -40.2395     -112.71850000000001
    12   0   2   0.0                -35.6295                -36.9435     -112.71850000000001
    13   0   1   0.0                -42.3705                -41.0565     -112.08150000000001
    14   0   1   0.0                -42.3705                -41.0565               -110.8065
    15   0   2   0.0     -41.701500000000003                -40.2395               -112.7195
    16   0   2   0.0                -35.6295                -36.9435               -112.7195
    17   0   2   0.0     -41.701500000000003                -40.2395     -110.16849999999999
    18   0   2   0.0                -35.6295                -36.9435     -110.16849999999999
    19   0   1   0.0                -42.3705                -41.0565     -109.53149999999999
    20   0   1   0.0                -42.3705                -41.0565               -108.2565
    21   0   2   0.0     -41.701500000000003                -40.2395               -110.1695
    22   0   2   0.0                -35.6295                -36.9435               -110.1695
    23   0   2   0.0     -41.701500000000003                -40.2395               -107.6185
    24   0   2   0.0                -35.6295                -36.9435               -107.6185
    25   0   1   0.0                -42.3705                -41.0565               -106.9815
    26   0   1   0.0                -42.3705                -41.0565     -105.70650000000001
    27   0   2   0.0     -41.701500000000003                -40.2395               -107.6195
    28   0   2   0.0                -35.6295                -36.9435               -107.6195
    29   0   2   0.0     -41.701500000000003                -40.2395               -105.0685
    30   0   2   0.0                -35.6295                -36.9435               -105.0685
    31   0   1   0.0                -42.3705                -41.0565               -104.4315
    32   0   1   0.0                -42.3705                -41.0565     -103.15649999999999
    33   0   2   0.0     -41.701500000000003                -40.2395     -105.06950000000001
    34   0   2   0.0                -35.6295                -36.9435     -105.06950000000001
    35   0   2   0.0     -41.701500000000003                -40.2395               -102.5185
    36   0   2   0.0                -35.6295                -36.9435               -102.5185
    37   0   1   0.0                -42.3705                -41.0565               -101.8815
    38   0   1   0.0                -42.3705                -41.0565               -100.6065
    39   0   2   0.0     -41.701500000000003                -40.2395     -102.51949999999999
    40   0   2   0.0                -35.6295                -36.9435     -102.51949999999999
    41   0   2   0.0     -41.701500000000003                -40.2395     -99.968500000000006
    42   0   2   0.0                -35.6295                -36.9435     -99.968500000000006
    43   0   1   0.0                -42.3705                -41.0565     -99.331499999999991
    44   0   1   0.0                -42.3705                -41.0565                -98.0565
    45   0   2   0.0     -41.701500000000003                -40.2395     -99.969499999999996
    46   0   2   0.0                -35.6295                -36.9435     -99.969499999999996
    47   0   2   0.0     -41.701500000000003                -40.2395     -97.418499999999995
    48   0   2   0.0                -35.6295                -36.9435     -97.418499999999995
    49   0   1   0.0                -42.3705                -41.0565     -96.781499999999994
    50   0   1   0.0                -42.3705                -41.0565     -95.506500000000003
    51   0   2   0.0     -41.701500000000003                -40.2395     -97.419499999999999
    52   0   2   0.0                -35.6295                -36.9435     -97.419499999999999
    53   0   2   0.0     -41.701500000000003                -40.2395     -94.868499999999997
    54   0   2   0.0                -35.6295                -36.9435     -94.868499999999997
    55   0   1   0.0                -42.3705                -41.0565     -94.231500000000011
    56   0   1   0.0                -42.3705                -41.0565     -92.956500000000005
    57   0   2   0.0     -41.701500000000003                -40.2395     -94.869500000000002
    58   0   2   0.0                -35.6295                -36.9435     -94.869500000000002
    59   0   2   0.0     -41.701500000000003                -40.2395                -92.3185
    60   0   2   0.0                -35.6295                -36.9435                -92.3185
    61   0   1   0.0                -42.3705                -41.0565                -91.6815
    62   0   1   0.0                -42.3705                -41.0565     -90.406499999999994
    63   0   2   0.0     -41.701500000000003                -40.2395     -92.319500000000005
    64   0   2   0.0                -35.6295                -36.9435     -92.319500000000005
    65   0   2   0.0     -41.701500000000003                -40.2395     -89.768499999999989
    66   0   2   0.0                -35.6295                -36.9435     -89.768499999999989
    67   0   1   0.0                -42.3705                -41.0565     -89.131500000000003
    68   0   1   0.0                -42.3705                -41.0565     -87.856499999999997
    69   0   2   0.0     -41.701500000000003                -40.2395     -89.769499999999994
    70   0   2   0.0                -35.6295                -36.9435     -89.769499999999994
    71   0   2   0.0     -41.701500000000003                -40.2395     -87.218500000000006
    72   0   2   0.0                -35.6295                -36.9435     -87.218500000000006
    73   0   1   0.0                -42.3705                -41.0565     -86.581500000000005
    74   0   1   0.0                -42.3705                -41.0565                -85.3065
    75   0   2   0.0     -41.701500000000003                -40.2395     -87.219500000000011
    76   0   2   0.0                -35.6295                -36.9435     -87.219500000000011
    77   0   2   0.0     -41.701500000000003                -40.2395     -84.668499999999995
    78   0   2   0.0                -35.6295                -36.9435     -84.668499999999995
    79   0   1   0.0                -42.3705                -41.0565     -84.031499999999994
    80   0   1   0.0                -42.3705                -41.0565     -82.756500000000003
    81   0   2   0.0     -41.701500000000003                -40.2395     -84.669499999999999
    82   0   2   0.0                -35.6295                -36.9435     -84.669499999999999
    83   0   2   0.0     -41.701500000000003                -40.2395     -82.118500000000012
    84   0   2   0.0                -35.6295                -36.9435     -82.118500000000012
    85   0   1   0.0                -42.3705                -41.0565     -81.481499999999983
